subject;predicate;object
Lent;symbolizes;time for leaving Egypt
Egypt;symbolizes;worldly temptations and enslavement to sin
Israelites;left behind;comforts of Egypt
desert;represents;self-sacrifice and dependence on God
Roman province of Egypt;established in;30 BC
Augustus;defeated;Mark Anthony
province;divided into;small provinces
Romans;developed;tax system
Social hierarchy;introduced in;Egypt
citizenship;could be obtained through;military service
Egypt;was source of;food for Rome
trade;flourished in;1st and 2nd centuries
Christianity;spread in;Egypt
Alexandria;became;major center
Egypt;became part of;Byzantine Empire
Egypt;had dominant language;Greek
Ptolemy I Soter;assimilated to;Egyptian culture
Nile River;played a crucial role in;ancient Egypt
Nile River;enabled;civilization
Egyptians;built;empire
Nile's cycles;influenced;Egyptian beliefs in life, death, and the afterlife
Nile;was revered as;a source of water and fertility
river;facilitated;trade
Upper Egypt;located in;the south
Lower Egypt;located in;the north
unification;led to;formation
single pharaoh;worshipped as;hawk-god Horus
Third Intermediate Period;began with;Smendes
Dynasty 21;ruling from;Tanis
Dynasty 22;of;Libyan descent
Dynasty 23;emerging in;eastern Delta
era;witnessed;Nubian rule in Egypt
Art;flourished in;temple precincts
king's divine lineage;was emphasized in;various artistic forms
Ancient Egypt;divided into;distinct time periods
Early Dynastic Period;with;ruler Menes
New Kingdom;with;ruler Hatshepsut
Intermediate Periods;marked by;challenges in central government control
Greco-Roman Period;saw;Egypt under foreign rule
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
Third Intermediate Period;divided into;Dynasty 21
