entity;surface
Pedro I;Pedro I, Emperor Pedro I
Pedro II;Pedro II, Emperor Pedro II
Brazil;Brazil
19th century;19th century
Europe;Europe
Napoleon;Napoleon
Portuguese royal court;Portuguese royal court
Rio de Janeiro;Rio de Janeiro
1808;1808
Portugal;Portugal
1822;1822
Empire of Brazil;Empire of Brazil
King João VI;King João VI
Debret;Debret
Rio de Janeiro;Rio de Janeiro
Pedro II;Pedro II, Emperor Pedro II
six decades;six decades
elites;elites
monarchy;monarchy
Brazil's journey towards independence;Brazil's journey towards independence
imperial identity;imperial identity
