subject;predicate;object
Byzantine Empire;defeated;Seljuk Turkish forces
Battle of Manzikert;resulted in;defeat of the Byzantine Empire
Battle of Manzikert;resulted in;capture of Emperor Romanus IV Diogenes
defeat of the Byzantine Empire;marked beginning of;decline of the Byzantine Empire
decline of the Byzantine Empire;led to;loss of Asia Minor to the Seljuks
defeat of the Byzantine Empire;marked beginning of;decline of the Byzantine Empire
decline of the Byzantine Empire;led to;political destabilization
decline of the Byzantine Empire;led to;Turkish migrations
decline of the Byzantine Empire;led to;loss of Asia Minor to the Seljuks
Battle of Manzikert;considered;turning point in Byzantine history
turning point in Byzantine history;led to;empire's eventual downfall
turning point in Byzantine history;set stage for;later Crusades
