subject,predicate,object
Nuclear decay,remnants,Manhattan Project
Manhattan Project,constructed,nuclear-explosives production facilities
Martin Miller,documented,abandoned sites
Albert Einstein,informed,Franklin D. Roosevelt
U.S. government,expedited,research
Manhattan Project,accomplished,scientific challenges
Atomic bomb,detonated,July 16, 1945
Atomic bomb,dropped,on Hiroshima and Nagasaki
Uranium bomb,dropped,on Hiroshima
Plutonium bomb,dropped,on Nagasaki
Clinton Engineering Works,concentrated,uranium isotope U235
Hanford Engineering Works,created,plutonium
British scientists,journeyed,Los Alamos
British Mission,provided,essential contributions
G-2,followed,residents from Los Alamos
Thin Man,wasn't built,for reasons discovered experimentally
Implosion bomb,treated as,back-up design
Minsk,was site of,Nazi-run ghettos
Allies,knew about,Holocaust
Erwin Schrödinger,explained,quantum mechanics
O. R. Frisch and R. E. Peierls,predicted,small mass of pure uranium-235
Sir Henry Tizard,led,mission to Washington
Cooperation,established,between American and British nuclear research
```
