('Advisory Committee on Uranium', 'part of', 'Manhattan Project')
('dropping of atomic bombs', 'has effect', 'Hiroshima and Nagasaki')
('initial doubts about their contributions', 'facet of', 'atomic bomb')
('Hurricane', 'instance of', 'British nuclear test')
('Mark Oliphant', 'country of citizenship', 'Australia')
('Nagasaki', 'twinned administrative body', 'Hiroshima')
('dropping of atomic bombs on Hiroshima and Nagasaki', 'part of', 'World War II')
('Klaus Fuchs', 'conflict', 'World War II')
('letter to President Roosevelt in 1939', 'author', 'Albert Einstein')
('first atomic bomb', 'has effect', 'dropped on Hiroshima and Nagasaki')
('Los Alamos', 'part of', 'Manhattan Project')
('Manhattan Engineering District', 'part of', 'Manhattan Project')
('Hiroshima', 'twinned administrative body', 'Nagasaki')
('World War II', 'has effect', 'dropped on Hiroshima and Nagasaki')
('British Mission', 'conflict', 'World War II')
('atomic bomb', 'developer', 'Manhattan Project')
('James B. Conant', 'country of citizenship', 'US')
('Los Alamos', 'parent organization', 'Manhattan Project')
('Manhattan Project', 'location', 'Los Alamos')
('uranium bomb', 'country of origin', 'United States')
('Manhattan Project', 'subsidiary', 'Los Alamos')
('Manhattan Project', 'main subject', 'nuclear age')
('atomic bomb', 'studied by', 'nuclear physics')
('Manhattan Project', 'product or material produced', 'atomic bomb')
('The Gadget', 'instance of', 'atomic bomb')
('dropped on Hiroshima and Nagasaki', 'has cause', 'first atomic bomb')
('explosive chain reaction', 'facet of', 'nuclear weapons')
('Fat Man', 'instance of', 'implosion device')
('dropped', 'has effect', 'Hiroshima and Nagasaki')
('atom bomb', 'has part', 'atom')
('Hiroshima and Nagasaki', 'has cause', 'dropping of atomic bombs')
('nuclear physics', 'studies', 'atomic bomb')
('development and use of atomic weapons', 'part of', 'Manhattan Project')
('The Gadget', 'location', 'Hiroshima and Nagasaki')
('Atomic Physics Today', 'main subject', 'nuclear physics')
('dropped on Hiroshima and Nagasaki', 'part of', 'World War II')
('British did play a significant role in the practical realization', 'facet of', 'atomic bomb')
('Otto Frisch', 'conflict', 'World War II')
('Manhattan Project', 'conflict', 'World War 2')
('Manhattan Project', 'has effect', 'development and use of atomic weapons')
('British', 'significant event', 'atomic bomb')
('nuclear weapons', 'uses', 'explosive chain reaction')
('letter', 'author', 'Albert Einstein')
('changed the course of history', 'facet of', 'Manhattan Project')
('Manhattan Engineering District', 'inception', '1942')
('Hurricane', 'instance of', 'nuclear test')
('Mark Oliphant', 'date of birth', '1901')
('Monte Bello Islands', 'country', 'Australia')
('development and use of atomic weapons', 'has cause', 'Manhattan Project')
('letter to President Roosevelt', 'author', 'Albert Einstein')
('dropped on Hiroshima and Nagasaki', 'has cause', 'first atomic bomb was tested in 1945')
