Fat Man, located in the administrative, Hiroshima
Manhattan Project, start time, 1945
Manhattan Project, instance of, research and development project
Abby, spouse, Charlie
atomic bomb, part of, Manhattan Project
Manhattan Project, start time, 1942
bomb, are deactivated, expert engineering
Australia, contains administrative territorial entity, South Australia
bomb, developer, Leslie R. Groves
Quebec Agreement, has effect, equal participation
plutonium, located in the administrative territorial entity, Hanford
atomic bomb detonated over Hiroshima and Nagasaki, has part, Gadget
British Mission, conflict, World War II
devastating events, location, Minsk
race for the bomb, has part, moral dilemmas
Manhattan, original broadcaster, WGN's
bomb, developed, expert engineering
Britain, contains, uranium
Klaus Fuchs, work location, World War II
Manhattan Project, significant, nuclear age
uranium production plant, located in the administrative territorial entity, Oak Ridge, Tennessee
super bomb, considered, science fiction
bomb, discoverer or inventor, Robert Oppenheimer
nuclear weapons program, start time, 1940
Manhattan Project, founded by, Albert Einstein
dropping of atomic bombs on Hiroshima and Nagasaki, point in time, August 1945
James Chadwick, employer, British Mission
Rudolf Peierls, educated at, University of Birmingham
Oak Ridge, instance of, installations
Manhattan Project, product or material produced, atomic bomb
Hurricane, point in time, 1952
The Making of the Atomic Bomb, author, Richard Rhodes
nuclear weapon development, is, nuclear powers
Martin Miller, participant, Manhattan Project
American, diplomatic relation, British
Manhattan Project, end time, 1947
Britain, shares border with, USSR
atomic bomb detonated over Hiroshima and Nagasaki, facet of, Gadget
Manhattan Project, main subject, nuclear weapon
Roosevelt, participant in, Manhattan Project
Manhattan Project, inception, 1942
Manhattan Project, main subject, nuclear weapons
Albert Einstein, employer, President Roosevelt
Manhattan Project, significant, history of nuclear weapons
atomic bomb, designed by, Los Alamos, NM
MAUD Committee, named after, Niels Bohr
Roosevelt, participant, Manhattan Project
nuclear weapon development, country, Britain
Nagasaki, country, Japan
Canada, diplomatic relation, Britain
British, participant in, Manhattan Project
Manhattan, distributed by, WGN
Hiroshima, followed by, Nagasaki
Arnold Sommerfeld, student of, Werner Heisenberg
nuclear disarmament, need, mass destruction
Quebec Agreement, point in time, 1943
Klaus Fuchs, country of citizenship, Soviet
Albert Einstein, participant in, Manhattan Project
United States, diplomatic relation, Canada
Birmingham, located in the administrative territorial entity, Oxford
Agreement for Mutual Cooperation on Atomic Energy, inception, 1958
bomb, discoverer, Leslie R. Groves
Peierls, residence, Birmingham
atomic bomb, has explosive power, TNT
Manhattan, original broadcaster, WGN
Mark Oliphant, place of birth, Australia
state governor, applies to jurisdiction, South Australia
Thin Man project, is doomed due to, X-10 Reactor
Werner Heisenberg, influenced by, Arnold Sommerfeld
British delegation, excluded from, General Groves
The Gadget, instance of, atomic bomb
race to<triplet> race to<triplet> race to, main, develop
Manhattan Project, field of work, atomic bomb
institutions named in his honor, named after, his
Quebec Agreement, publication date, 1943
plutonium, located in the administrative, Hanford
Britain's nuclear weapons program, inception, 1940
US, diplomatic relation, British
scientific discovery, impact, warfare
Manhattan Project, location, Los Alamos
Trinity test site, located in the administrative territorial, New Mexico
Peierls, date of death, 1995
Attlee, position held, Prime Minister
Einstein, participant in, Manhattan Project
Frisch–Peierls memorandum, publication date, March 1940
US Army Corps of Engineers, country, American
James Chadwick, member of, British Mission
Albert Einstein, fear, nuclear weapon
atomic bomb, discoverer or inventor, Americans
Albert Einstein, warned, President Roosevelt
Fat Man, located in, Hiroshima
Hiroshima, author, John Hersey
