entity;surface
castles;castles
medieval England;medieval England
offensive and defensive military roles;offensive, defensive military roles
social and administrative functions;social, administrative functions
lord of the land;lord
evolution of castle construction;evolution of castle construction
wood to stone;wood, stone
advancements in defense mechanisms;advancements in defense mechanisms
arrow-slits;arrow-slits
multiple walls;multiple walls
decline of castles;decline of castles
introduction of gunpowder;introduction of gunpowder
tourist attractions;tourist attractions
