subject;predicate;object
Uruguay;gaining independence in;1828
Brazil;declaring independence from;Portugal in 1822
Uruguay;experienced;political reforms
Uruguay;experienced;economic reforms
Uruguay;has;free market economy
Uruguay;focuses on;agriculture
Brazil;has;diverse economy
Brazil;has a strong presence in;world markets
Uruguay;has;well-developed infrastructure
Brazil;has;well-developed infrastructure
Uruguay;faces challenges such as;border disputes
Uruguay;faces challenges such as;issues related to illicit drugs
Brazil;faces challenges such as;border disputes
Brazil;faces challenges such as;issues related to illicit drugs
