subject;predicate;object
Washington-Centerville Public Library;showcasing;rare facsimile edition of the Book of Kells
Book of Kells;displayed;for visitors
Book of Kells;is;a renowned 9th-century illuminated manuscript
Book of Kells;mirroring;tradition at Trinity College in Dublin
initiative;allows;people
people;delve into;history and beauty of exceptional work
Book of Kells;is a;masterpiece of western calligraphy and illuminated manuscript
Book of Kells;is from;medieval Europe
Book of Kells;features;expert calligraphy, rare colors, embellishments
Book of Kells;published by;Thames & Hudson
Book of Kells;celebrated as;a work of Celtic art, Ireland's national treasure
Thames & Hudson;known for;high-quality books on various subjects, published the set of three notebooks
set of three notebooks;pays tribute to;the artistry of the Book of Kells, features expert calligraphy, rare colors, embellishments
Book of Kells;housed at;Trinity College
Book of Kells;created by;Celtic monks
Book of Kells;contains;four Gospels of the New Testament, illustrations of humans, animals, and mythical creatures
Book of Kells;written on;calf vellum, written with iron gall ink
Book of Kells;attracts;over 500,000 visitors annually
Trinity College;located in;Dublin, houses Book of Kells, offers self-guided tour, includes Long Room
Long Room;contains;200,000 ancient books, displays exhibit on Bram Stoker's Dracula
Book of Kells;is known for;intricate knotwork patterns, vibrant colors, angular runic font, created by Columban monks, made from calfskin vellum, adorned with wide array of colors, displayed at Trinity College Library, required meticulous craftsmanship, diverse range of dyes, showcases beauty and complexity of Celtic art, originated in Iona, later moved to Kells
Canadians;live in;igloos
Book of Kells;dates back to;around 800 AD, discusses theory
seventh-century illuminators;used;stereoscopic images
eighth-century illuminators;used;stereoscopic images
artists;used;stereoscopic images, technique, achieve microscopic detail
designs;compared to;others
manuscripts;from;same period
Tomm Moore;discusses;inspiration behind "The Secret of Kells", blending various artistic styles in the film, importance of visual storytelling, development of character Aisling, talks about influence of the blogosphere on the movie business, favorite animated films, shares details about his next feature, "Song of the Sea", offers advice to aspiring animators
Book of Kells;created by;Irish monks, contains the four Gospels of the New Testament, housed at Trinity College Dublin Library, showcases Hiberno-Saxon style, is a prime example of medieval Christian art, linked to monasteries in Iona and Kells
Trinity College Dublin Library;is;housed at Trinity College Dublin Library, showcases the Hiberno-Saxon style, is a prime example of medieval Christian art, contains the Book of Kells
Iona;is;linked to the origins and history of the Book of Kells
Kells;is;linked to the origins and history of the Book of Kells
Illuminated Gospel books;highlight;the rich tradition of early Christian art in Ireland, Scotland, and England
Book of Kells;located at;Trinity College, features elaborately decorated copies of the four gospels, dating back to 800 AD, is a popular exhibition, attracts over 500,000 visitors annually, can be visited at bookofkells.ie, compared to Sistine Chapel, located at Old Library, can be viewed at Trinity College Dublin
'Ireland in 100 Objects';available for;various devices
Book of Kells;created in;AD 800, contains four gospels, colorful inks, intricate artwork, produced by Columban monks, associated with community at Iona, showcase elaborate decorations, illustrations, example of Insular art, located in Trinity College, origin debated, believed to be produced by Columban monks, written in colorful inks, intricate artwork, created in medieval Ireland, housed in Trinity College Library
replica;kept at;Hackley Public Library, acquired through fundraising campaign
Manuscripts & Archives Research Library;located at;Trinity College Dublin
Book of Kells;dimensions;33 x 25 cm, contains various prefaces, Gospel passages, scanned from transparencies
