subject;predicate;object
Egypt;is portrayed as;a symbol of worldly temptations and enslavement to sin
Egypt;represents;self-sacrifice and dependence on God
the Israelites;left;to follow God's guidance in the desert
Augustus;defeating;Mark Anthony and Cleopatra
province;governed by;hierarchy
Egypt;source of;revenue
hierarchy;introduced;social hierarchy
citizenship;obtained through;military service
Egypt;crucial for;food supply to Rome
Christianity;flourished in;region Alexandria
Ptolemy I Soter;founded;dynasty
Ptolemy I Soter;assimilated to;Egyptian culture
Ptolemy I Soter;claimed descent from;Heracles
Ptolemy I Soter;was trusted general of;Alexander
Ptolemy I Soter;strategically secured power in;Egypt
Ptolemy I Soter;engaging in;wars
Ptolemy I Soter;known for;shrewdness
Ptolemy I Soter;known for;patronage of letters
Ptolemy I Soter;founding;Great Library of Alexandria
Nile River;played a crucial role;ancient Egypt
Nile River;allowed;civilization
Nile River;influenced;Egyptian beliefs
Nile River;shaping;religious practices
Nile River;provided;resources
Egypt;has;7000 years of culture
Cairo;offers;mix of Pharaonic, Islamic, and Coptic monuments
Cairo;offers;vibrant streets and European-style architecture
Fayoum;offers;natural beauty and scenic landscapes
Tour Egypt;provides;customized packages
civilization;divided into;three major kingdoms
Pharaohs;buried in;pyramids
empire;conquered by;various civilizations
Ancient Egyptians;were pioneers in;makeup
Ancient Egyptians;were pioneers in;writing
Ancient Egyptians;were pioneers in;inventions
Bible;mentions;Egypt
Late Period of Ancient Egypt;marked;decline of Egyptian power
Twenty-Sixth Dynasty;known as;Saite Period
Twenty-Eighth to Thirtieth Dynasties;saw;rebellion by Amyrtaeus against the Persians
Thirty-First Dynasty;experienced;Second Persian Occupation
Third Intermediate Period;began with;Smendes
Third Intermediate Period;saw a shift from;Dynasty 21 to Dynasty 22
temple network;became crucial for;politics and art
birth house;celebrating;the king as a divine child
unification;marked the beginning of;ancient Egyptian history
single kingdom;had;a pharaoh
pharaoh;worshipped as;hawk-god Horus
Egyptians;worshipped;many gods
mummification process;was used to preserve;the dead
Pyramids;were built during;Old Kingdom
Egyptian society;had;simple structure
Pharaoh;was at;top
slaves;were at;bottom
Marriage;was arranged for;young Egyptians
women;had;certain rights
Hieroglyphics;were used for;writing
Egyptians;excelled in;art and technology
Ancient Egypt;spanning;Old Kingdom
Ancient Egypt;spanning;Middle Kingdom
Ancient Egypt;spanning;New Kingdom
Old Kingdom;built;first pyramids
Middle Kingdom;introduced;myth of Osiris
New Kingdom;brought;Valley of the Kings
New Kingdom;shift towards;monotheism
New Kingdom;under;Akhenaton
Ancient Egypt;thrived for;almost 30 centuries
Ancient Egypt;captivated historians and archaeologists with;its majestic pyramids
Ancient Egypt;captivated historians and archaeologists with;rich religious traditions
Ancient Egypt;captivated historians and archaeologists with;beautiful art
Predynastic Period;saw;gradual development of Egyptian civilization
Archaic Period;laid;foundations of society and kingship
Old Kingdom;was known for;pyramid builders and prosperity
Middle Kingdom;flourished under;aggressive foreign policy and pyramid-building
Middle Kingdom;was marked by;division and foreign rule
New Kingdom;saw;Egypt reunite
New Kingdom;saw;establish an empire
Third Intermediate Period;brought;changes in politics and society
Third Intermediate Period;local rulers gaining;power
Late Period to Alexander's conquest;experienced;Persian rule
Late Period to Alexander's conquest;experienced;brief independence
Late Period to Alexander's conquest;experienced;fell to Alexander the Great in 332 B.C.
Late Period to Alexander's conquest;leading to;centuries of Roman rule and the eventual introduction of Christianity and Islam
