King Richard III, sibling, James I
owner's residence, located on terrain feature, motte
grounds, part of, castle
Naward, owned by, Earls of Carlisle
Romans, replaced by, Normans
Anglo Saxon wars, end time, 1380
C5, followed by, C11
Norman Conquest, participant, William the Conqueror
Sandal Castle, located in the administrative territorial entity, Wakefield
King Stephen, conflict, The Anarchy
Wars of the Roses, part of, English Civil War
Piel Harbour, located in the administrative territorial entity, Isle of Man
Bernard de Bailliol, ethnic group, Normans
besieged, point in time, 1216
English Civil War, part of, the struggle
Brougham, maintained by, English Heritage
captured and damaged, point in time, 1388
castle, located in or next to body of water, Eamont
Lucy Tower, instance of, bailey
Crown Courts, has part, Magna Carta
English Civil War, part of, struggle
Mont St Michel, country, France
castle, located in, county of Essex
Berwick Castle, located in the administrative territorial entity, Berwick-upon-Tweed
Bowes, instance of, castle
Brough Castle, location, Brough
castle, owned by, Corporation of Shrewsbury
Brough Castle, instance of, castle
castle, located in the administrative territorial entity, Vieuxpont
Thomas Telford, occupation, engineer
castle, instance of, country house
new castle, owned by, Normans
motte and bailey castles, founded by, William the Conqueror
manor house, architectural style, Tudor
Barbican House, located in the administrative territorial entity, town
was besieged, point in time, 1469
gaol, used for, court
The Anarchy, participant, King Stephen
Ida of Bernicia, spouse, Northumbria
Lords of Hapton, end time, 1510
plague, has effect, Black Death
castle, are open to the public, grounds
motte and bailey, subclass of, castle
English Civil War, start time, 1642
Rising of the North, end time, 1569
Lord of the Marches, responsible for, English border
Romans, followed by, Normans
War of the Roses, participant, Lancastrian
gatehouse, replaces, Roman fort
castle, owned by, Clifford
Berkhamsted Castle, located in the administrative territorial entity, Berkhamsted
castle, has part, moat
Sir Thomas de Criol, date of death, 1343
Anglo-Scottish Wars, end time, 1340
Civil War, participant, Parliamentarians
Catherine Parr, spouse, Henry VIII
Richard III, sibling, James I
Roger de Caen, position held, Bishop of Salisbury
Brougham Castle, conflict, War of the Roses
fort, contains, castle
manor house, inception, 1690
Rievaulx Abbey, founded by, Walter Espec
castle, occupant, Normans
Brougham Castle, located in the administrative territorial entity, Penrith
besieged twice, point in time, 1216
Duke of Norfolk, owner of, stately home
bishops of Carlisle, residence, castle
English, shares border with, Scots
King Henry I, conflict, The Anarchy
Wales and the Marches, capital, London
Roger de Caen, occupation, Bishop of Salisbury
fortified, part of, Hundred Years War
River Lowther, mouth of, River Eamont
Duke of Norfolk, residence, stately home
fort, has part, castle
Duke of Buckingham, spouse, Thomas Fairfax
Wales, capital, London
castle, was abandoned, abandoned
The Anarchy, point in time, 1138
Black Death, has part, plague
Conqueror, child, William II of England
motte and bailey castle, has, bailey
Sandal Castle, historic county, Yorkshire
Vieuxpont, instance of, castle
Edward 1, date of death, 1300
Domesday Survey, inception, 1086
Okehampton Castle, located in the administrative territorial entity, Okehampton
Norman Conquest, location, England
keep, part of, prison
Rebellion of 1088, point in time, 1088
Peace, location, Scotland
Clitheroe Castle, located in the administrative territorial entity, Clitheroe
Lord of the Marches, applies to jurisdiction, Scottish
rampart, obsolete, castle
wars with Scotland heightened, start time, 1296
Clifford castles, owned by, Earl of Thanet
River Eamont, mouth of the watercourse, River Lowther
Sir Fulke Greville, residence, country house
Earldom of Chester, inception, 1070
Yarmouth, located in or next to body of water, Solent
Crown Courts, instance of, museum
motte and bailey castle, dissolved, abolished or demolished, 1155
Wilton, instance of, manor house
William II of England, father, Conqueror
William the Conqueror's great keeps, ethnic group, Normans
Wales, shares border with, England
William the Conqueror, position held, Earldom of Chester
Norman Conquest, point in time, 1066
Scotland, end of, continental wars
Berwick Castle, located in the administrative territorial entity, Northumberland
Ireland, shares border with, Isle of Man
The Anarchy, start time, 1142
Stephen, spouse, Matilda
Edward 1, date of birth, 1300
Elizabeth de Clare, family, de Clare
Fotheringhay Castle, significant event, execution of Mary Queen of Scots
Piel Harbour, country, Isle of Man
castle, are open to, grounds are open to the public
castle, has been cleaned out, moat
house, are open to the public, garden
captured and damaged, participant, Scots
Wars of the Roses, point in time, 1559
Hylton, date of death, 1746
16th, followed by, 18th century.
original Norman wooden castle, start time, 1130
Castle Acre Castle, located in the administrative territorial entity, Norfolk
castle, use, fortress
The Anarchy, participant, King Henry I
owner's residence, last refuge, refuge
16th, followed by, 18th century
sieges of the English Civil War, point in time, 1642
motte and bailey fortification, guard, ford across the River Tyne
Wales and the Marches, headquarters location, London
White Cliffs of Dover, instance of, sea crossing
castle, is free, free and open access
Percy family, located in the administrative territorial entity, Northumberland
great keeps, owned by, William the Conqueror
castle, has preserved, motte
